run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0001,0001,1,20260504_135649_postcopy_01_bd30ec,postcopy,cpu,ok,2026-05-04T13:56:49Z,2026-05-04T13:57:30Z,,True,True,False,20260504_135649_postcopy_cpu_44ad19,/mnt/criu/runs/batches/20260504_135649_postcopy_cpu_44ad19,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0001\summary.json,,False,,,1777903037858.0,1777903037858.0,events(offset_corrected),11199.0,2301.0,9533.0,2.0,12765.0,1163.0,1163.0,1161.0,49.0,50.0,7203.0,1150.0,200.0,141.0,145.0,24.0,0.0,0.0,200.0,140.0,199.0,116.0,1.0,24.0,1777903038353.0,1777903039516.0,,2102.0,,,2866.0,1741.0,,,,,4404.0,,,,3721.0,1776.0,559.0,2590.0,2977.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.795,6.203,2.925,3.98,3.77,4.683,43.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-2.87,-2.2230000000000003,8372.0,2.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0002,0002,2,20260504_135731_postcopy_02_0bf76b,postcopy,cpu,ok,2026-05-04T13:57:31Z,2026-05-04T13:58:12Z,,True,True,False,20260504_135649_postcopy_cpu_44ad19,/mnt/criu/runs/batches/20260504_135649_postcopy_cpu_44ad19,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0002\summary.json,,False,,,1777903080013.0,1777903080013.0,events(offset_corrected),12054.0,2344.0,10189.0,2.0,13580.0,1163.0,1163.0,1210.0,46.0,48.0,7005.0,1200.0,200.0,141.0,141.0,24.0,0.0,0.0,200.0,141.0,200.0,116.0,0.0,25.0,1777903080505.0,1777903081668.0,,2101.0,,,3588.0,1800.0,,,,,4463.0,,,,3753.0,1767.0,584.0,2575.0,2971.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.75,6.3,2.67,3.428,3.59,5.138,45.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-3.08,-2.872,8979.0,-47.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0003,0003,3,20260504_135814_postcopy_03_902888,postcopy,cpu,ok,2026-05-04T13:58:14Z,2026-05-04T13:58:55Z,,True,True,False,20260504_135649_postcopy_cpu_44ad19,/mnt/criu/runs/batches/20260504_135649_postcopy_cpu_44ad19,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0003\summary.json,,False,,,1777903122267.0,1777903122267.0,events(offset_corrected),11297.0,2396.0,9572.0,2.0,12918.0,1266.0,1266.0,1264.0,49.0,50.0,7061.0,1250.0,201.0,142.0,142.0,26.0,0.0,0.0,200.0,142.0,200.0,116.0,0.0,26.0,1777903122722.0,1777903123988.0,,1966.0,,,2862.0,1737.0,,,,,4652.0,,,,3962.0,1799.0,565.0,2659.0,3060.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.98,6.166,2.83,3.716,3.45,4.554,43.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-3.1500000000000004,-2.45,8308.0,2.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0004,0004,4,20260504_135856_postcopy_04_140899,postcopy,cpu,ok,2026-05-04T13:58:56Z,2026-05-04T13:59:37Z,,True,True,False,20260504_135649_postcopy_cpu_44ad19,/mnt/criu/runs/batches/20260504_135649_postcopy_cpu_44ad19,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0004\summary.json,,False,,,1777903164621.0,1777903164621.0,events(offset_corrected),11652.0,2448.0,9760.0,2.0,13229.0,1212.0,1212.0,1208.0,49.0,50.0,6974.0,1197.0,200.0,141.0,140.0,25.0,0.0,0.0,200.0,141.0,199.0,116.0,1.0,25.0,1777903165110.0,1777903166322.0,,1999.0,,,2927.0,1791.0,,,,,4819.0,,,,4154.0,1868.0,538.0,2561.0,2973.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.68,5.663,2.79,3.587,3.33,4.593,43.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-1.8899999999999997,-2.076,8552.0,4.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0005,0005,5,20260504_135939_postcopy_05_f3b4d9,postcopy,cpu,ok,2026-05-04T13:59:39Z,2026-05-04T14:00:19Z,,True,True,False,20260504_135649_postcopy_cpu_44ad19,/mnt/criu/runs/batches/20260504_135649_postcopy_cpu_44ad19,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0005\summary.json,,False,,,1777903207353.0,1777903207353.0,events(offset_corrected),12080.0,2300.0,10330.0,2.0,13621.0,1162.0,1162.0,1160.0,49.0,50.0,7109.0,1150.0,200.0,137.0,143.0,24.0,0.0,0.0,200.0,137.0,199.0,113.0,1.0,24.0,1777903207847.0,1777903209009.0,,2596.0,,,2937.0,1767.0,,,,,4689.0,,,,3975.0,1771.0,572.0,2453.0,2850.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.79,6.083,2.535,3.6,3.495,4.825,44.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-3.255,-2.483,9170.0,2.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0006,0006,6,20260504_140021_postcopy_06_d4c1d6,postcopy,cpu,ok,2026-05-04T14:00:21Z,2026-05-04T14:01:00Z,,True,True,False,20260504_135649_postcopy_cpu_44ad19,/mnt/criu/runs/batches/20260504_135649_postcopy_cpu_44ad19,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0006\summary.json,,False,,,1777903248171.0,1777903248171.0,events(offset_corrected),11200.0,2248.0,9335.0,3.0,13254.0,1214.0,1214.0,1160.0,49.0,50.0,6955.0,1150.0,200.0,138.0,140.0,25.0,0.0,0.0,200.0,138.0,199.0,114.0,1.0,24.0,1777903248660.0,1777903249874.0,,2039.0,,,2858.0,1811.0,,,,,4192.0,,,,3508.0,1791.0,567.0,2528.0,2938.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.58,5.757,2.94,4.115,3.65,4.503,43.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-2.64,-1.6419999999999995,8175.0,54.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0007,0007,7,20260504_140102_postcopy_07_4a0bb6,postcopy,cpu,ok,2026-05-04T14:01:02Z,2026-05-04T14:01:43Z,,True,True,False,20260504_135649_postcopy_cpu_44ad19,/mnt/criu/runs/batches/20260504_135649_postcopy_cpu_44ad19,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0007\summary.json,,False,,,1777903290879.0,1777903290879.0,events(offset_corrected),11800.0,2301.0,10152.0,2.0,13375.0,1213.0,1213.0,1216.0,50.0,50.0,7220.0,1200.0,201.0,140.0,145.0,25.0,0.0,0.0,200.0,141.0,200.0,116.0,0.0,25.0,1777903291355.0,1777903292568.0,,2082.0,,,3023.0,1880.0,,,,,4495.0,,,,3791.0,1754.0,576.0,2537.0,2935.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.27,5.706,2.63,3.502,3.455,4.226,44.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-2.6399999999999997,-2.2040000000000006,8936.0,-3.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0008,0008,8,20260504_140145_postcopy_08_250334,postcopy,cpu,ok,2026-05-04T14:01:45Z,2026-05-04T14:02:25Z,,True,True,False,20260504_135649_postcopy_cpu_44ad19,/mnt/criu/runs/batches/20260504_135649_postcopy_cpu_44ad19,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0008\summary.json,,False,,,1777903333366.0,1777903333366.0,events(offset_corrected),12050.0,2299.0,10330.0,2.0,13612.0,1213.0,1213.0,1160.0,51.0,50.0,7151.0,1149.0,201.0,139.0,144.0,25.0,0.0,0.0,200.0,138.0,199.0,114.0,1.0,24.0,1777903333826.0,1777903335039.0,,2644.0,,,2934.0,1853.0,,,,,4524.0,,,,3813.0,1754.0,573.0,2489.0,2894.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.625,4.987,2.775,3.846,3.5,4.611,44.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-1.85,-1.141,9170.0,53.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0009,0009,9,20260504_140227_postcopy_09_36dfc3,postcopy,cpu,ok,2026-05-04T14:02:27Z,2026-05-04T14:03:08Z,,True,True,False,20260504_135649_postcopy_cpu_44ad19,/mnt/criu/runs/batches/20260504_135649_postcopy_cpu_44ad19,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0009\summary.json,,False,,,1777903375316.0,1777903375316.0,events(offset_corrected),11586.0,2295.0,9813.0,3.0,13120.0,1163.0,1163.0,1160.0,50.0,50.0,7153.0,1150.0,201.0,138.0,145.0,24.0,0.0,0.0,200.0,138.0,199.0,114.0,1.0,24.0,1777903375821.0,1777903376984.0,,2133.0,,,2896.0,1774.0,,,,,4695.0,,,,3994.0,1812.0,560.0,2447.0,2840.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,6.02,6.088,2.55,3.674,3.375,4.41,43.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-3.4699999999999998,-2.414,8653.0,3.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0010,0010,10,20260504_140309_postcopy_10_90cb9d,postcopy,cpu,ok,2026-05-04T14:03:09Z,2026-05-04T14:03:49Z,,True,True,False,20260504_135649_postcopy_cpu_44ad19,/mnt/criu/runs/batches/20260504_135649_postcopy_cpu_44ad19,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten\runs\batches\20260504_135649_postcopy_cpu_44ad19\runs\0010\summary.json,,False,,,1777903417399.0,1777903417399.0,events(offset_corrected),11900.0,2250.0,9925.0,3.0,13413.0,1162.0,1162.0,1160.0,48.0,50.0,6901.0,1150.0,201.0,137.0,140.0,24.0,0.0,0.0,200.0,138.0,200.0,114.0,0.0,24.0,1777903417882.0,1777903419044.0,,2024.0,,,2938.0,1828.0,,,,,4993.0,,,,4296.0,1741.0,568.0,2500.0,2890.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.63,5.87,3.43,4.676,4.21,5.087,43.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,-2.1999999999999997,-1.194,8765.0,2.0
