run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,vip_l4_downtime_zero_from_continuous_up,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0001,0001,1,20260721_101751_postcopy_01_c992d5,postcopy,stream,ok,2026-07-21T10:17:51Z,2026-07-21T10:18:12Z,,True,True,False,20260721_101751_postcopy_stream_49fd12,/mnt/criu/runs/batches/20260721_101751_postcopy_stream_49fd12,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0001\summary.json,,False,,,1784629087273.0,1784629087273.0,events(offset_corrected),2401.0,650.0,1311.0,1.0,1311.0,1311.0,1311.0,0.0,50.0,50.0,1300.0,,194.0,73.0,27.0,0.0,0.0,0.0,194.0,73.0,194.0,73.0,0.0,0.0,1784629084965.0,1784629086276.0,,347.0,333.0,,298.0,430.0,,,,,1312.0,,,,1298.0,,,780.0,1044.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.95,0.956,1.09,1.567,0.94,0.953,30.0,2906.0,294095.76,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.14000000000000012,0.611,1311.0,1311.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0002,0002,2,20260721_101812_postcopy_02_ec3fb8,postcopy,stream,ok,2026-07-21T10:18:12Z,2026-07-21T10:18:33Z,,True,True,False,20260721_101751_postcopy_stream_49fd12,/mnt/criu/runs/batches/20260721_101751_postcopy_stream_49fd12,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0002\summary.json,,False,,,1784629108219.0,1784629108219.0,events(offset_corrected),2500.0,700.0,1411.0,1.0,1411.0,1411.0,1411.0,0.0,50.0,50.0,1400.0,,176.0,74.0,29.0,0.0,0.0,0.0,176.0,73.0,176.0,73.0,0.0,0.0,1784629105816.0,1784629107227.0,,345.0,333.0,,310.0,426.0,,,,,1299.0,,,,1283.0,,,800.0,1073.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.99,1.057,1.2,1.617,0.97,1.024,28.0,3189.0,288269.784,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.20999999999999996,0.56,1411.0,1411.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0003,0003,3,20260721_101833_postcopy_03_c60c0b,postcopy,stream,ok,2026-07-21T10:18:33Z,2026-07-21T10:18:54Z,,True,True,False,20260721_101751_postcopy_stream_49fd12,/mnt/criu/runs/batches/20260721_101751_postcopy_stream_49fd12,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0003\summary.json,,False,,,1784629129214.0,1784629129214.0,events(offset_corrected),2599.0,650.0,1511.0,1.0,1511.0,1511.0,1511.0,0.0,50.0,50.0,1500.0,,176.0,74.0,31.0,0.0,0.0,0.0,176.0,74.0,176.0,74.0,0.0,0.0,1784629126706.0,1784629128217.0,,348.0,329.0,,511.0,430.0,,,,,1295.0,,,,1280.0,,,793.0,1061.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.93,0.985,1.1,1.147,0.99,1.01,28.0,3202.0,282333.509,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.17000000000000004,0.16200000000000003,1511.0,1511.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0004,0004,4,20260721_101855_postcopy_04_2d8fed,postcopy,stream,ok,2026-07-21T10:18:55Z,2026-07-21T10:19:15Z,,True,True,False,20260721_101751_postcopy_stream_49fd12,/mnt/criu/runs/batches/20260721_101751_postcopy_stream_49fd12,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0004\summary.json,,False,,,1784629150554.0,1784629150554.0,events(offset_corrected),2550.0,700.0,1461.0,1.0,1461.0,1461.0,1461.0,0.0,50.0,50.0,1450.0,,177.0,73.0,30.0,0.0,0.0,0.0,177.0,73.0,177.0,73.0,0.0,0.0,1784629148111.0,1784629149572.0,,349.0,328.0,,297.0,444.0,,,,,1306.0,,,,1292.0,,,795.0,1065.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.94,0.968,1.25,1.68,1.0,1.019,28.0,3232.0,286612.189,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.31000000000000005,0.712,1461.0,1461.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0005,0005,5,20260721_101916_postcopy_05_f918fe,postcopy,stream,ok,2026-07-21T10:19:16Z,2026-07-21T10:19:36Z,,True,True,False,20260721_101751_postcopy_stream_49fd12,/mnt/criu/runs/batches/20260721_101751_postcopy_stream_49fd12,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0005\summary.json,,False,,,1784629171293.0,1784629171293.0,events(offset_corrected),2451.0,650.0,1311.0,1.0,1311.0,1311.0,1311.0,0.0,50.0,50.0,1300.0,,174.0,74.0,27.0,0.0,0.0,0.0,173.0,74.0,173.0,74.0,0.0,0.0,1784629168978.0,1784629170289.0,,350.0,329.0,,322.0,413.0,,,,,1298.0,,,,1284.0,,,793.0,1072.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.01,1.043,1.075,1.179,0.98,1.046,28.0,3055.0,287617.108,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.06499999999999995,0.13600000000000012,1311.0,1311.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0006,0006,6,20260721_101936_postcopy_06_b0098d,postcopy,stream,ok,2026-07-21T10:19:36Z,2026-07-21T10:19:56Z,,True,True,False,20260721_101751_postcopy_stream_49fd12,/mnt/criu/runs/batches/20260721_101751_postcopy_stream_49fd12,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0006\summary.json,,False,,,1784629192023.0,1784629192023.0,events(offset_corrected),2400.0,651.0,1261.0,1.0,1261.0,1261.0,1261.0,0.0,50.0,50.0,1250.0,,174.0,74.0,26.0,0.0,0.0,0.0,173.0,74.0,173.0,74.0,0.0,0.0,1784629189746.0,1784629191007.0,,337.0,522.0,,300.0,418.0,,,,,1299.0,,,,1283.0,,,802.0,1084.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.99,0.965,1.095,1.344,0.93,0.97,28.0,3069.0,292426.376,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.10499999999999998,0.3790000000000001,1261.0,1261.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0007,0007,7,20260721_101957_postcopy_07_5f3c3b,postcopy,stream,ok,2026-07-21T10:19:57Z,2026-07-21T10:20:17Z,,True,True,False,20260721_101751_postcopy_stream_49fd12,/mnt/criu/runs/batches/20260721_101751_postcopy_stream_49fd12,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0007\summary.json,,False,,,1784629212977.0,1784629212977.0,events(offset_corrected),2450.0,700.0,1361.0,1.0,1361.0,1361.0,1361.0,0.0,50.0,50.0,1350.0,,173.0,74.0,29.0,0.0,0.0,0.0,173.0,73.0,173.0,73.0,0.0,0.0,1784629210644.0,1784629212005.0,,350.0,315.0,,313.0,421.0,,,,,1310.0,,,,1295.0,,,816.0,1089.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.04,0.992,1.13,1.334,0.91,0.961,28.0,3020.0,288524.982,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.08999999999999986,0.3420000000000001,1361.0,1361.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0008,0008,8,20260721_102018_postcopy_08_76f9c6,postcopy,stream,ok,2026-07-21T10:20:18Z,2026-07-21T10:20:38Z,,True,True,False,20260721_101751_postcopy_stream_49fd12,/mnt/criu/runs/batches/20260721_101751_postcopy_stream_49fd12,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0008\summary.json,,False,,,1784629233596.0,1784629233596.0,events(offset_corrected),2451.0,650.0,1311.0,1.0,1311.0,1311.0,1311.0,0.0,50.0,50.0,1300.0,,172.0,74.0,27.0,0.0,0.0,0.0,171.0,74.0,171.0,74.0,0.0,0.0,1784629231281.0,1784629232592.0,,347.0,324.0,,312.0,440.0,,,,,1300.0,,,,1287.0,,,793.0,1070.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.91,0.978,0.945,0.992,0.87,0.873,28.0,2946.0,290430.871,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.03499999999999992,0.014000000000000012,1311.0,1311.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0009,0009,9,20260721_102039_postcopy_09_5ea4c3,postcopy,stream,ok,2026-07-21T10:20:39Z,2026-07-21T10:20:59Z,,True,True,False,20260721_101751_postcopy_stream_49fd12,/mnt/criu/runs/batches/20260721_101751_postcopy_stream_49fd12,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0009\summary.json,,False,,,1784629254636.0,1784629254636.0,events(offset_corrected),2450.0,700.0,1361.0,1.0,1361.0,1361.0,1361.0,0.0,50.0,50.0,1350.0,,178.0,73.0,28.0,0.0,0.0,0.0,178.0,73.0,178.0,73.0,0.0,0.0,1784629252294.0,1784629253655.0,,348.0,322.0,,310.0,422.0,,,,,1307.0,,,,1292.0,,,786.0,1060.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,0.99,1.089,1.05,1.322,0.94,0.971,29.0,3282.0,287415.034,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.06000000000000005,0.2330000000000001,1361.0,1361.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0010,0010,10,20260721_102100_postcopy_10_8eeed3,postcopy,stream,ok,2026-07-21T10:21:00Z,2026-07-21T10:21:20Z,,True,True,False,20260721_101751_postcopy_stream_49fd12,/mnt/criu/runs/batches/20260721_101751_postcopy_stream_49fd12,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_101751_postcopy_stream_49fd12\runs\0010\summary.json,,False,,,1784629275718.0,1784629275718.0,events(offset_corrected),2400.0,650.0,1262.0,1.0,1262.0,1262.0,1262.0,0.0,50.0,50.0,1250.0,,175.0,73.0,26.0,0.0,0.0,0.0,174.0,74.0,174.0,74.0,0.0,0.0,1784629273452.0,1784629274714.0,,336.0,338.0,,306.0,411.0,,,,,1290.0,,,,1276.0,,,779.0,1060.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,1.005,1.027,1.1,1.264,0.97,0.982,28.0,3115.0,290828.286,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,0.0950000000000002,0.2370000000000001,1262.0,1262.0
