run_dir,run_number,run_index,run_id,method,load,status,start_ts,end_ts,error,monitor_enabled,migrate_enabled,control_run,batch_id,batch_dir,summary_present,summary_path,summary_load_error,excluded,exclude_reason,analysis_note,cutover_ms,cutover_ms_event,cutover_strategy,http_downtime_ms,l4_downtime_ms,vip_http_client_visible_total_down_ms,vip_http_client_visible_down_segments,vip_http_client_visible_outage_span_ms,vip_http_cutover_near_downtime_ms,vip_http_downtime_ms,vip_l4_downtime_ms,vip_http_cutover_gap_ms,vip_l4_cutover_gap_ms,vip_http_downphase_ms,vip_l4_downphase_ms,vip_http_samples_before,vip_http_samples_after,vip_http_transport_err_before,vip_http_transport_err_after,vip_http_non_200_before,vip_http_non_200_after,vip_l4_samples_before,vip_l4_samples_after,vip_l4_up_before,vip_l4_up_after,vip_l4_down_before,vip_l4_down_after,vip_http_segment_start_ms,vip_http_segment_end_ms,precopy_final_dump_ms,precopy_transfer_prepare_ms,precopy_vip_prepare_ms,precopy_dest_container_cleanup_ms,precopy_transfer_to_restore_ms,precopy_restore_call_ms,precopy_transfer_to_restore_exec_ms,precopy_restore_launch_overhead_ms,precopy_restore_exec_ms,precopy_restore_return_overhead_ms,precopy_restore_to_cutover_ms,precopy_restore_exec_to_cutover_ms,precopy_transfer_mode,precopy_transfer_verify_mode,postcopy_restore_to_readiness_ms,postcopy_readiness_gate_ms,postcopy_warmup_duration_ms,postcopy_cutover_duration_ms,postcopy_cutover_to_health_ok_ms,monitor_http_timeout_ms,monitor_l4_timeout_ms,monitor_precision_mode,monitor_burst_window_ms,migration_vip_garp_count,migration_vip_garp_interval_ms,migration_vip_garp_mode,migration_vip_conntrack_clear_src,migration_precopy_image_mode,migration_precopy_pre_dump_rounds,migration_precopy_tcp_established,migration_postcopy_readiness_stable_successes,migration_postcopy_readiness_interval_ms,migration_postcopy_readiness_timeout_ms,migration_postcopy_probe_max_time_s,migration_postcopy_warmup_rounds,migration_postcopy_warmup_interval_ms,migration_postcopy_warmup_max_duration_ms,latency_src_p50_ms,latency_src_avg_ms,latency_dst_p50_ms,latency_dst_avg_ms,latency_vip_p50_ms,latency_vip_avg_ms,stream_disconnects,stream_max_gap_ms,stream_avg_bps,download_bytes_total,download_duration_ms,dl_avg_bps,download_disconnects,download_max_gap_ms,upload_bytes_total,upload_duration_ms,upload_avg_bps,upload_disconnects,upload_max_gap_ms,analyze_rc,vip_l4_downtime_zero_from_continuous_up,latency_delta_dst_src_p50_ms,latency_delta_dst_src_avg_ms,vip_http_client_visible_minus_l4_downtime_ms,vip_http_minus_l4_downtime_ms
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0001,0001,1,20260721_113759_postcopy_01_7a983c,postcopy,wrk1,ok,2026-07-21T11:37:59Z,2026-07-21T11:38:25Z,,True,True,False,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0001\summary.json,,False,,,1784633896328.0,1784633896328.0,events(offset_corrected),2500.0,650.0,1362.0,1.0,1362.0,1362.0,1362.0,0.0,52.0,50.0,1350.0,,199.0,74.0,28.0,0.0,0.0,0.0,200.0,73.0,200.0,73.0,0.0,0.0,1784633893964.0,1784633895326.0,,357.0,323.0,,307.0,420.0,,,,,1323.0,,,,1307.0,,,796.0,1071.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.36,5.463,3.19,3.616,4.13,4.81,28.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,-2.1700000000000004,-1.847,1362.0,1362.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0002,0002,2,20260721_113826_postcopy_02_152889,postcopy,wrk1,ok,2026-07-21T11:38:26Z,2026-07-21T11:38:51Z,,True,True,False,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0002\summary.json,,False,,,1784633922413.0,1784633922413.0,events(offset_corrected),2502.0,650.0,1411.0,1.0,1411.0,1411.0,1411.0,0.0,52.0,50.0,1400.0,,194.0,73.0,29.0,0.0,0.0,0.0,194.0,73.0,194.0,73.0,0.0,0.0,1784633920018.0,1784633921429.0,,357.0,327.0,,325.0,417.0,,,,,1309.0,,,,1296.0,,,792.0,1047.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.27,4.736,3.63,3.792,3.935,4.289,26.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,-0.6399999999999997,-0.944,1411.0,1411.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0003,0003,3,20260721_113852_postcopy_03_f31b05,postcopy,wrk1,ok,2026-07-21T11:38:52Z,2026-07-21T11:39:17Z,,True,True,False,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0003\summary.json,,False,,,1784633948077.0,1784633948077.0,events(offset_corrected),2501.0,650.0,1411.0,1.0,1411.0,1411.0,1411.0,0.0,49.0,50.0,1400.0,,184.0,73.0,29.0,0.0,0.0,0.0,184.0,72.0,184.0,72.0,0.0,0.0,1784633945679.0,1784633947090.0,,357.0,322.0,,308.0,432.0,,,,,1324.0,,,,1308.0,,,785.0,1051.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.78,5.366,3.205,3.266,4.115,4.672,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,-1.5750000000000002,-2.0999999999999996,1411.0,1411.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0004,0004,4,20260721_113917_postcopy_04_ba966f,postcopy,wrk1,ok,2026-07-21T11:39:18Z,2026-07-21T11:39:42Z,,True,True,False,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0004\summary.json,,False,,,1784633973562.0,1784633973562.0,events(offset_corrected),2448.0,650.0,1361.0,1.0,1361.0,1361.0,1361.0,0.0,49.0,50.0,1350.0,,183.0,73.0,28.0,0.0,0.0,0.0,183.0,73.0,183.0,73.0,0.0,0.0,1784633971216.0,1784633972577.0,,351.0,312.0,,298.0,431.0,,,,,1312.0,,,,1297.0,,,803.0,1078.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.29,5.502,2.985,3.287,4.405,4.839,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,-2.305,-2.215,1361.0,1361.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0005,0005,5,20260721_113944_postcopy_05_030d42,postcopy,wrk1,ok,2026-07-21T11:39:44Z,2026-07-21T11:40:09Z,,True,True,False,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0005\summary.json,,False,,,1784633999747.0,1784633999747.0,events(offset_corrected),2455.0,700.0,1311.0,1.0,1311.0,1311.0,1311.0,0.0,52.0,50.0,1299.0,,185.0,73.0,27.0,0.0,0.0,0.0,185.0,73.0,185.0,73.0,0.0,0.0,1784633997398.0,1784633998709.0,,347.0,325.0,,287.0,411.0,,,,,1363.0,,,,1347.0,,,771.0,1036.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.03,5.322,3.25,3.565,4.15,4.745,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,-1.7800000000000002,-1.7570000000000001,1311.0,1311.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0006,0006,6,20260721_114009_postcopy_06_9b6ab3,postcopy,wrk1,ok,2026-07-21T11:40:09Z,2026-07-21T11:40:34Z,,True,True,False,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0006\summary.json,,False,,,1784634025626.0,1784634025626.0,events(offset_corrected),2499.0,700.0,1362.0,1.0,1362.0,1362.0,1362.0,0.0,49.0,50.0,1350.0,,188.0,73.0,28.0,0.0,0.0,0.0,187.0,73.0,187.0,73.0,0.0,0.0,1784634023250.0,1784634024612.0,,368.0,331.0,,301.0,418.0,,,,,1345.0,,,,1330.0,,,785.0,1050.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.37,5.632,3.17,3.384,4.53,5.197,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,-2.2,-2.2479999999999998,1362.0,1362.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0007,0007,7,20260721_114035_postcopy_07_661448,postcopy,wrk1,ok,2026-07-21T11:40:35Z,2026-07-21T11:41:01Z,,True,True,False,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0007\summary.json,,False,,,1784634051898.0,1784634051898.0,events(offset_corrected),2499.0,650.0,1362.0,1.0,1362.0,1362.0,1362.0,0.0,47.0,50.0,1350.0,,198.0,72.0,28.0,0.0,0.0,0.0,197.0,73.0,197.0,73.0,0.0,0.0,1784634049529.0,1784634050891.0,,355.0,317.0,,320.0,422.0,,,,,1324.0,,,,1312.0,,,779.0,1033.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.81,5.41,3.06,3.098,4.19,4.835,27.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,-1.7499999999999996,-2.3120000000000003,1362.0,1362.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0008,0008,8,20260721_114101_postcopy_08_e763a7,postcopy,wrk1,ok,2026-07-21T11:41:01Z,2026-07-21T11:41:27Z,,True,True,False,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0008\summary.json,,False,,,1784634077869.0,1784634077869.0,events(offset_corrected),2653.0,700.0,1512.0,1.0,1512.0,1512.0,1512.0,0.0,53.0,51.0,1500.0,,190.0,74.0,31.0,0.0,0.0,0.0,190.0,73.0,190.0,73.0,0.0,0.0,1784634075314.0,1784634076826.0,,374.0,327.0,,309.0,443.0,,,,,1356.0,,,,1340.0,,,790.0,1065.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,5.125,5.523,3.125,3.15,3.88,4.55,26.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,-2.0,-2.3729999999999998,1512.0,1512.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0009,0009,9,20260721_114127_postcopy_09_e2e3b2,postcopy,wrk1,ok,2026-07-21T11:41:27Z,2026-07-21T11:41:52Z,,True,True,False,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0009\summary.json,,False,,,1784634103707.0,1784634103707.0,events(offset_corrected),2603.0,700.0,1512.0,1.0,1512.0,1512.0,1512.0,0.0,48.0,50.0,1500.0,,188.0,72.0,31.0,0.0,0.0,0.0,188.0,72.0,188.0,72.0,0.0,0.0,1784634101212.0,1784634102724.0,,364.0,321.0,,315.0,454.0,,,,,1330.0,,,,1317.0,,,766.0,1032.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.97,5.519,3.235,3.379,4.3,4.86,26.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,-1.7349999999999999,-2.14,1512.0,1512.0
D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0010,0010,10,20260721_114154_postcopy_10_3c86c6,postcopy,wrk1,ok,2026-07-21T11:41:54Z,2026-07-21T11:42:19Z,,True,True,False,20260721_113759_postcopy_wrk1_a24afe,/mnt/criu/runs/batches/20260721_113759_postcopy_wrk1_a24afe,True,D:\ContainerLiveMigration\tests\testläufe\messungen_daten_v2\runs\batches\20260721_113759_postcopy_wrk1_a24afe\runs\0010\summary.json,,False,,,1784634129874.0,1784634129874.0,events(offset_corrected),2550.0,650.0,1412.0,1.0,1412.0,1412.0,1412.0,0.0,48.0,50.0,1400.0,,187.0,72.0,29.0,0.0,0.0,0.0,186.0,73.0,186.0,73.0,0.0,0.0,1784634127452.0,1784634128864.0,,360.0,309.0,,320.0,438.0,,,,,1325.0,,,,1309.0,,,770.0,1044.0,40.0,40.0,False,0.0,3.0,200.0,A,False,shared,0.0,1.0,3.0,200.0,10000.0,2.0,1.0,0.0,400.0,4.96,5.116,3.24,3.368,4.195,4.563,25.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0,True,-1.7199999999999998,-1.7479999999999998,1412.0,1412.0
